"F15Regions","year","total_count","total_pop","rate","rate_per_100k"
"LANGO",2005,4249.27296833511,610189.401740932,0.00696385901854655,696.385901854655
"LANGO",2006,4319.70852320019,630057.844685002,0.00685605069382134,685.605069382134
"LANGO",2007,4455.29522315762,649964.519374987,0.00685467450968228,685.467450968228
"LANGO",2008,4492.06721867934,669908.869151237,0.00670548999354301,670.548999354301
"LANGO",2009,4502.08579852373,690132.475370506,0.00652350955677999,652.350955677999
"LANGO",2010,4493.0633847962,710830.832776307,0.00632086169820118,632.086169820118
"LANGO",2011,4470.09165482507,732139.035244777,0.00610552291250333,610.552291250333
"LANGO",2012,4363.65377729481,754268.784721717,0.005785276900866,578.527690086599
"LANGO",2013,3837.30463236143,777428.45184268,0.0049358942591645,493.58942591645
"LANGO",2014,3193.67606527225,801783.690804948,0.00398321405373807,398.321405373807
"LANGO",2015,2947.49576588893,827440.576242572,0.00356218422267081,356.218422267081
"LANGO",2016,2787.79652158075,854321.635504093,0.00326316975448691,326.316975448691
"LANGO",2017,2635.98204940602,882413.510029427,0.00298724126437968,298.724126437968
"LANGO",2018,2558.06498018639,911746.25673219,0.00280567642729328,280.567642729328
"TESO",2000,2843.84898628854,482551.306688799,0.00589336086519514,589.336086519514
"TESO",2001,2896.71621178266,499102.349425096,0.00580385208588842,580.385208588842
"TESO",2002,2944.23748722574,516588.284671436,0.00569938880650063,569.938880650063
"TESO",2003,2994.25103180787,534502.859546332,0.00560193641311721,560.193641311721
"TESO",2004,3031.02575237548,552733.143475428,0.00548370545199671,548.370545199671
"TESO",2005,3061.72883827458,571282.467979503,0.00535939576284079,535.939576284079
"TESO",2006,3157.56078698529,590097.583098938,0.00535091292935508,535.091292935508
"TESO",2007,3294.82460281074,608973.363047142,0.00541045766981385,541.045766981385
"TESO",2008,3372.79478682855,627879.085798997,0.00537172660009299,537.172660009299
"TESO",2009,3439.52870743564,647035.671585418,0.00531582547683628,531.582547683628
"TESO",2010,3517.02332450465,666627.485460445,0.00527584505771677,527.584505771677
"TESO",2011,3591.56784200472,686760.103598315,0.00522972697916859,522.972697916859
"TESO",2012,3586.02632714263,707602.452416003,0.00506785457695727,506.785457695727
"TESO",2013,3406.31836544967,729358.075009442,0.00467029636355993,467.029636355993
"TESO",2014,3034.54652339647,752208.767723238,0.00403418127201752,403.418127201752
"TESO",2015,2778.75225318399,776281.675754048,0.00357956697932465,357.956697932465
"TESO",2016,2686.29055161665,801516.276344875,0.00335151091861395,335.151091861395
"TESO",2017,2550.40865334417,827906.486227166,0.00308055160307607,308.055160307607
"TESO",2018,2433.56514516723,855472.919769714,0.00284470155504434,284.470155504434
"TORO",2000,5861.1737445397,681628.709458566,0.00859877769701833,859.877769701833
"TORO",2001,5821.63932072596,705272.531525913,0.00825445350626428,825.445350626428
"TORO",2002,5776.8638503609,729999.766317422,0.00791351465700192,791.351465700192
"TORO",2003,5731.17992053907,755147.17265871,0.00758948735828649,758.948735828649
"TORO",2004,5655.38311025531,780615.743777885,0.00724477203455493,724.477203455493
"TORO",2005,5570.84813883107,806475.581653433,0.00690764638826353,690.764638826353
"TORO",2006,5583.0088496318,832685.058416654,0.00670482650457048,670.482650457048
"TORO",2007,5669.31281331886,858975.957507361,0.00660008323139857,660.008323139857
"TORO",2008,5678.63867716072,885335.245037334,0.00641411116183594,641.411116183594
"TORO",2009,5624.57355967747,912074.293656174,0.00616679320840257,616.679320840257
"TORO",2010,5573.94901182791,939447.043207433,0.00593322322118072,593.322322118072
"TORO",2011,5494.06644525751,967623.442230443,0.00567789721236319,567.789721236319
"TORO",2012,5359.33227431673,996868.824816884,0.00537616599185072,537.616599185072
"TORO",2013,5036.87973796582,1027447.95704004,0.0049023210406457,490.23210406457
"TORO",2014,4564.61262914375,1059593.25238581,0.00430789137139743,430.789137139743
"TORO",2015,4297.61448454476,1093463.96374465,0.00393027536986884,393.027536986884
"TORO",2016,4105.43542150898,1128957.27586454,0.0036364843110339,363.64843110339
"TORO",2017,3771.25066285022,1166054.86582888,0.00323419658316803,323.419658316803
"TORO",2018,3460.04230413146,1204794.27517717,0.00287189470884783,287.189470884783
"WEST NILE",2000,3213.08421585788,747105.987885281,0.00430070735338726,430.070735338726
"WEST NILE",2001,3208.09007073173,772832.0742598,0.00415108298113062,415.108298113062
"WEST NILE",2002,3200.25083485261,799928.739292296,0.00400066990677682,400.066990677682
"WEST NILE",2003,3197.63823822259,827602.942692282,0.00386373473711963,386.373473711963
"WEST NILE",2004,3192.64524758822,855720.442564994,0.00373094422989168,373.094422989168
"WEST NILE",2005,3184.31833587516,884345.163466505,0.00360076412177469,360.076412177469
"WEST NILE",2006,3230.62747873335,913416.846814114,0.00353685996705818,353.685996705818
"WEST NILE",2007,3332.04789072703,942552.691051951,0.00353513169328311,353.513169328311
"WEST NILE",2008,3381.20286854108,971735.893693547,0.00347954921752371,347.954921752371
"WEST NILE",2009,3374.5426918265,1001294.6960305,0.00337017933402065,337.017933402065
"WEST NILE",2010,3355.9783578604,1031491.05731694,0.00325352152503367,325.352152503366
"WEST NILE",2011,3359.69170993817,1062511.48821271,0.00316202859659393,316.202859659393
"WEST NILE",2012,3345.92360201229,1094674.21923808,0.00305654736652256,305.654736652256
"WEST NILE",2013,3159.35451361882,1128292.29269071,0.00280012061952891,280.012061952891
"WEST NILE",2014,2927.16771173203,1163640.61460784,0.00251552556260554,251.552556260554
"WEST NILE",2015,2834.83751634616,1200911.70108349,0.00236057115089186,236.057115089186
"WEST NILE",2016,2750.29193414403,1239899.8782201,0.00221815646767553,221.815646767553
"WEST NILE",2017,2624.60095911124,1280664.12267804,0.00204940617343355,204.940617343355
"WEST NILE",2018,2509.21965934177,1323255.40476507,0.00189624742911007,189.624742911007
