"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
3679,1807.49151657339,5391.88829931941,20290.3498827543,48045.1615660935,186688244.705041,96583222.9441321,10,6,12,35,1.5,17,30,60,17,0.486493570492037,0.19768751514019,3936,2369
3680,1803.15410253021,5350.15211437609,19585.4387833907,50116.802368835,187129320.725422,95530444.3184948,10,6,12,35,1.5,17,30,60,20,0.487938376945081,0.194011200090674,3953,2332
3681,2827.49122575865,7705.38384524636,96206.288776859,21176.0798712845,253312592.973707,68603882.5611458,10,6,12,45,1.2,14,22,40,17,0.704730980508861,0.0999833372431178,4756,1592
3682,2825.77900436323,7685.74256429576,91146.8914396683,21103.961513879,253905356.116532,67671252.5095727,10,6,12,45,1.2,14,22,40,20,0.706672659435639,0.0967265823938697,4768,1567
3683,3005.30025451157,8306.40794157173,49819.8127937795,25813.5121344764,265812574.112316,63264527.8478376,10,6,12,45,1.2,14,22,60,17,0.745676424326913,0.081338249273787,5086,1343
3684,3004.00220327023,8291.1808487902,46675.8991377951,26657.9983512286,266366810.184225,62447057.7203016,10,6,12,45,1.2,14,22,60,20,0.747491902421852,0.0784836342016287,5105,1289
3685,3027.48131112427,8368.20411445452,60119.8265610123,21437.5811240739,268162650.581558,62239863.7203641,10,6,12,45,1.2,14,30,40,17,0.753374429865681,0.0777601103746907,5179,1273
3686,3026.18899512837,8352.76178351983,56719.2495518843,22013.372226314,268751140.662283,61406779.7531867,10,6,12,45,1.2,14,30,40,20,0.755302111777405,0.0748509715952147,5198,1207
3687,3217.56443761339,9076.2282008107,32296.1169965951,35459.8376669511,280142627.621461,58006722.2747171,10,6,12,45,1.2,14,30,60,17,0.792616527224839,0.0629779318383996,5555,943
3688,3216.65193496272,9064.80792218695,30520.6284546339,36772.3316366713,280690183.237143,57276017.1825603,10,6,12,45,1.2,14,30,60,20,0.794410122547147,0.0604263012660863,5569,880
3689,1607.87823993627,5536.1974767835,105256.313677801,22210.3744050746,252445194.218038,68781147.8128077,10,6,12,45,1.2,17,22,40,17,0.701889694060165,0.100602349537413,4742,1600
3690,1602.29910927937,5483.81984158801,100020.784464682,21986.671513894,253025423.199454,67863485.4590521,10,6,12,45,1.2,17,22,40,20,0.703790315580846,0.0973978620608141,4753,1572
3691,1676.73764541667,5317.89254587396,56024.2557143584,23854.4515684307,265299148.130867,64183321.8126213,10,6,12,45,1.2,17,22,60,17,0.743994625414979,0.0845466883490903,5068,1402
3692,1671.96461597104,5273.40823554281,52652.957283617,24527.2666009885,265841323.395947,63378342.7159011,10,6,12,45,1.2,17,22,60,20,0.745770596643229,0.081735692099972,5088,1349
3693,1684.04948808887,5300.26285425316,67399.1273988744,20368.4688237212,266893854.045722,62530511.1879298,10,6,12,45,1.2,17,30,40,17,0.749218308612494,0.0787750546688615,5128,1293
3694,1679.10864751728,5254.22205748345,63776.1375497993,20776.0457423521,267469290.182969,61709657.265695,10,6,12,45,1.2,17,30,40,20,0.751103230498955,0.0759086233467598,5150,1228
3695,1773.84264827248,5254.50467736142,36001.8673002594,31034.9484315484,279225332.542232,59033922.9976083,10,6,12,45,1.2,17,30,60,17,0.789611798360476,0.0665649285578214,5527,1026
3696,1769.65850348081,5215.78877889658,33960.2903673382,32164.1879365105,279760444.134066,58313265.3617914,10,6,12,45,1.2,17,30,60,20,0.791364631534934,0.0640483838184198,5544,964
3697,2828.04287916489,7707.4363288454,96321.8219321213,21138.6258097282,254740410.328743,66523618.3999675,10,6,12,45,1.5,14,22,40,17,0.709407996789509,0.0927190309051366,4784,1519
3698,2826.31923066306,7687.75190463847,91246.8213240336,21053.1315384068,255340493.686843,65607252.3852397,10,6,12,45,1.5,14,22,40,20,0.71137365410953,0.0895190702593079,4793,1477
3699,3005.71493707417,8308.12305107734,49920.8536376043,25677.5769503686,267288253.910592,61310535.1802936,10,6,12,45,1.5,14,22,60,17,0.750510220762584,0.0745148844415199,5143,1201
3700,3004.40657037607,8292.85698704114,46758.7256083075,26507.6286399727,267849075.665587,60508116.3194728,10,6,12,45,1.5,14,22,60,20,0.752347271187418,0.071712828565561,5161,1135
3701,3027.86515207624,8369.72170493129,60194.0164516971,21346.793136367,269658975.8697,60294380.3964934,10,6,12,45,1.5,14,30,40,17,0.758275853503027,0.0709664602682417,5230,1120
