"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse"
"128",1829,314692.421047139,1071893.82637692,4875.9051937993,15544.0414157641,1407006.19403362
"129",1830,312571.417709657,1064818.33347125,4864.34816977382,15435.2496084831,1397689.34895917
"130",1831,309028.326572886,1055371.15815727,4860.23153552593,15348.571552842,1384608.28781853
"131",1832,11529.0599526776,255276.500657461,2556.73163500285,19565.0588636492,288927.351108791
"132",1833,11296.7790800168,253011.967479464,2509.49979764375,19127.5019741246,285945.748331249
"133",1834,11242.266405274,248914.484677858,2480.06516658598,18779.5736600628,281416.38990978
"134",1835,69719.9235379029,517233.172990558,14668.8143600732,55762.1339487592,657384.044837293
"135",1836,30587.3121495985,462438.859442603,2440.93746300057,17462.2204756559,512929.329530858
"136",1837,29973.4339878985,458057.9348958,2400.97175550887,17052.5214817285,507484.862120936
"137",1838,29522.4620568407,454349.071211193,2365.6692236191,16705.3193509544,502942.521842608
"138",1839,94157.8173967522,676133.821790887,2375.77067078223,15768.5548233492,788435.964681771
"139",1840,93613.6643767803,672038.316401454,2333.96983888913,15390.4043420896,783376.354959213
"140",1841,92307.5498787372,665952.703580222,2304.36581503976,15071.3253782009,775635.9446522
"141",1842,22461.1772357143,373337.618978996,2458.57367670138,17446.4858454702,415703.855736882
"142",1843,21823.5376745262,369832.430525101,2414.12000207662,17030.0624883336,411100.150690038
"143",1844,21025.847427012,365276.056196224,2379.16622172701,16663.0265376724,405344.096382635
"144",1845,78528.4935149138,601944.753641387,2376.07811955295,15582.0996723922,698431.424948246
"145",1846,68216.7221251388,512068.161116996,14680.6033941843,55826.1504303138,650791.637066633
"146",1847,77648.1783393593,597661.960572142,2333.55646035809,15197.5219497125,692841.217321572
"147",1848,76291.3579445586,591947.117766053,2303.36272710782,14873.2734940419,685415.111931761
"148",1849,169694.69372364,829380.154177316,2334.57684656796,14120.4421945601,1015529.86694208
"149",1850,168429.642629247,823634.617274489,2296.18905932554,13767.7192742762,1008128.16823734
"150",1851,166069.656324313,815703.65366011,2266.9078657464,13457.8637846506,997498.08163482
"151",1852,67112.0572626965,508299.594400438,2383.5540771924,15477.0240415128,593272.229781839
"152",1853,65656.4112886966,503395.539813081,2343.10436152486,15090.2151073547,586485.270570657
"153",1854,64112.9395357116,496586.486498051,2314.77457625246,14774.851573612,577789.052183627
"154",1855,155259.98046877,751640.715461096,2341.6956733299,13893.012028033,923135.403631229
"155",1856,153492.897501519,745714.586599645,2302.83161134163,13536.3749374572,915046.690649963
"156",1857,67290.3878672756,507655.938606827,14681.944320323,55869.9284906428,645498.199285068
"157",1858,150997.996268383,738144.318323359,2273.20183712217,13223.8489494933,904639.365378357
"158",1859,268826.063404264,984437.9879215,2330.64004644875,12670.3506137522,1268265.04198596
"159",1860,266739.242016905,977444.565646715,2294.73146538134,12344.3835949837,1258822.92272399
"160",1861,263387.527565738,968237.543727768,2267.86849983834,12059.2334971523,1245952.1732905
"161",1862,19952.6360963057,411328.908801869,9355.69783812124,31116.4442020294,471753.686938325
"162",1863,19363.4618195021,406955.999715715,9360.55175402347,31117.0296959075,466797.042985148
"163",1864,19078.4639779575,404185.597222004,9359.21617043778,31112.3736187401,463735.650989139
"164",1865,96038.4259839254,702526.728096577,9653.61765840476,32412.8733486855,840631.645087592
"165",1866,94913.950291899,696879.979868821,9656.8900068485,32413.7623478732,833864.582515442
"166",1867,94158.8731084082,692234.601205629,9656.54233502434,32416.2148750631,828466.231524125
"167",1868,139372.625184401,696136.244487893,14971.7515888059,57373.9326788242,907854.553939924
"168",1869,221295.077241866,996178.319399167,9949.18649930634,33683.0106946829,1261105.59383502
"169",1870,219452.657032921,988923.656875775,9954.7555963407,33696.2476341599,1252027.3171392
"170",1871,218587.411678565,983101.611570807,9952.44134158567,33696.7808293687,1245338.24542033
"171",1872,71905.3942866786,583620.196308116,9685.51788131282,32576.9603323719,697788.068808479
"172",1873,71044.1319573574,579312.807506189,9684.51703705522,32576.4999403741,692617.956440976
"173",1874,69375.1804516571,572809.933089198,9695.93464206634,32596.0559835418,684477.104166463
"174",1875,191983.0792636,900108.025168867,10013.6629634901,33974.3424862484,1136079.10988221
"175",1876,189954.556756628,893087.327923559,10019.8599603733,33990.2307132878,1127051.97535385
"176",1877,188885.140216023,887765.257193534,10018.4571891778,33993.9504549375,1120662.80505367
"177",1878,350819.368156903,1210287.25801539,10309.4160956126,35280.8519098899,1606696.8941778
"178",1879,137320.065654824,689872.004153497,14983.7681740736,57440.9696259214,899616.807608316
"179",1880,347475.739116641,1198733.82816102,10310.5696938352,35292.7537508769,1591812.89072237
"180",1881,346601.904986819,1194258.12307059,10313.4197293481,35306.1193652943,1586479.56715206
"181",1882,167458.098420507,776398.478772963,10069.6448796008,34243.4994078834,988169.721480954
"182",1883,165284.665178213,769956.628200366,10075.9591103804,34260.0207311377,979577.273220097
"183",1884,163663.139516176,764762.951047787,10083.8391715295,34281.2411314898,972791.170866982
"184",1885,326345.403230739,1112345.60305538,10399.8725654577,35711.9177833871,1484802.79663497
"185",1886,324843.827269688,1105537.721221,10397.5560729795,35717.1370665162,1476496.24163018
"186",1887,321711.247757796,1097291.997109,10404.6606795521,35741.4572321889,1465149.36277854
"187",1888,511663.964609954,1428042.84932713,10698.0994924688,37120.4296176141,1987525.34304717
"188",1889,507290.294043429,1414960.14976514,10700.0863711926,37139.985123158,1970090.51530292
"189",1890,14389.5453200199,276864.95267844,18687.5465858648,76362.1521717375,386304.196756063
"190",1891,135432.93959521,683260.496067098,14993.1410915903,57501.7967182674,891188.373472165
"191",1892,504684.242118284,1407010.62888977,10705.4803731001,37158.8371544668,1959559.18853563
"192",1893,15146.95060092,372702.472362667,3366.4767453482,13347.5496910218,404563.449399957
"193",1894,14745.440288948,369157.567973759,3350.36319089518,13150.6244363359,400403.995889938
"194",1895,14294.0259573829,365129.180501332,3335.50493407467,12957.6592058679,395716.370598658
"195",1896,76599.8903143202,643934.8061826,3491.62945714374,13047.9883054695,737074.314259534
"196",1897,75458.7887358507,638109.354208308,3477.84947414146,12870.7042836958,729916.696701996
"197",1898,74365.8211029593,632679.372110397,3464.39655733154,12699.9027047511,723209.492475439
"198",1899,185904.258358696,918076.375653093,3633.9834194277,12921.2630588342,1120535.88049005
"199",1900,184533.614418786,911926.756206722,3618.51394953633,12748.3265892485,1112827.21116429
"200",1901,182093.955103005,903250.436463682,3612.0207461798,12615.3182412766,1101571.73055414
"201",1902,36790.8344807817,133953.747979139,6306.40749547153,21120.9691837978,198171.95913919
"202",1903,56540.684454112,531566.950416098,3512.01091429641,13114.4817418655,604734.127526372
"203",1904,55437.0798571358,526525.490295477,3496.94724480741,12931.6604889549,598391.177886375
"204",1905,54737.8915793926,522827.034103078,3480.21613058955,12760.6407942756,593805.782607335
"205",1906,160394.635600368,827272.677673297,3672.23743435692,12983.5327339162,1004323.08344194
"206",1907,158216.479591111,819750.775277499,3660.65745135139,12821.8640700945,994449.776390056
"207",1908,156289.913010166,812993.874739427,3650.1346506824,12672.6128528578,985606.535253134
"208",1909,300864.12965063,1115285.57630656,3826.75067062569,12978.6560346874,1432955.1126625
"209",1910,297984.340223839,1104681.42591743,3813.29531550069,12831.9681164844,1419311.02957326
"210",1911,294693.098691754,1095632.58477191,3806.69274865864,12716.7905447573,1406849.16675708
"211",1912,138243.293128414,708369.540263194,3711.95622057603,13068.8960979747,863393.685710159
"212",1913,37068.0811211276,130950.025652771,6307.01182667945,21059.4056567167,195384.524257295
"213",1914,136965.423957029,703093.995740028,3693.93385330675,12899.2714548179,856652.625005182
"214",1915,134827.360429958,696764.7288945,3683.78501336659,12747.5332300868,848023.407567911
