"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
125,19532.8536048932,78538.0548792821,1023735.73534311,461320.869829747,435504813.61299,53528984.1619475,6,6,12,45,1.5,17,30,40,17,0.970157384879998,0.329264187289901,139,75
126,19536.3705843234,78565.1970653149,1013082.63068234,457072.877323553,436012871.364628,53596313.9344174,6,6,12,45,1.5,17,30,40,20,0.971638588150379,0.330264634035601,140,76
127,19993.1773619851,81211.4536226001,886657.054170231,408651.485452624,443888173.998195,57505294.7996177,6,6,12,45,1.5,17,30,60,17,0.994598426827129,0.38834781242953,147,91
128,19996.5827151787,81238.3102270571,877294.509538466,405131.167916925,444354077.950762,57582063.065466,6,6,12,45,1.5,17,30,60,20,0.995956733940837,0.389488504859098,148,92
129,19672.3221079591,74035.5667797161,744889.569001694,249935.146045443,106246802.026238,94678279.2134645,6,7,8,35,1.2,14,22,40,17,0.0102309946436645,0.940697685606405,11,141
130,19675.8464570444,74058.9422778413,732306.37297226,245964.225771981,106485128.883962,93854688.9534293,6,7,8,35,1.2,14,22,40,20,0.0109258182536613,0.928460035526561,12,139
131,20246.5375697293,77293.388969229,574308.328832495,192216.392581115,113219289.972431,85719829.7086757,6,7,8,35,1.2,14,22,60,17,0.0305587465878007,0.807584928429223,33,116
132,20250.0479156744,77317.9151423833,563926.381870301,189487.684949202,113448461.382562,85002962.059843,6,7,8,35,1.2,14,22,60,20,0.0312268781950256,0.796933059574437,34,113
133,20219.5643837397,77126.9207379778,643856.370383499,201506.574878194,114700063.759026,86223943.3615299,6,7,8,35,1.2,14,30,40,17,0.0348758285894606,0.815075505702246,41,118
134,20223.2770127518,77152.7461328875,632733.045880394,198327.935343437,114952178.905954,85483021.0751013,6,7,8,35,1.2,14,30,40,20,0.0356108508953645,0.804066211253713,42,114
135,20794.2098602536,80423.7535879804,494757.322520055,156489.640750004,121513470.742334,78210892.7195634,6,7,8,35,1.2,14,30,60,17,0.0547397922305515,0.696010341157604,53,99
136,20797.8803824607,80450.4022439267,485594.578801554,154361.624511546,121752219.516211,77566921.8217118,6,7,8,35,1.2,14,30,60,20,0.0554358459046196,0.686441638257726,54,97
137,14982.7658822145,52709.1210512843,766069.509351505,261573.950141274,105525937.453785,95204801.8534488,6,7,8,35,1.2,17,22,40,17,0.00812936946665045,0.948521235907944,9,142
138,14984.4558955233,52712.2491692931,753507.174753583,257537.130263769,105758704.863824,94390332.7408882,6,7,8,35,1.2,17,22,40,20,0.00880798493482699,0.936419116099082,10,140
139,15549.2470762316,55654.9072132396,595442.402647367,202799.885783996,112306296.274257,86256257.7575291,6,7,8,35,1.2,17,22,60,17,0.0278969837326681,0.815555662267917,31,119
140,15551.1543321497,55661.7500486473,585057.493273007,199994.353085475,112529330.718822,85547691.6177132,6,7,8,35,1.2,17,22,60,20,0.0285472234891385,0.805027144753489,32,115
141,15518.2136218209,55535.9134707502,665570.293666956,212563.815256111,113684656.97072,86467278.3500092,6,7,8,35,1.2,17,30,40,17,0.0319154882526428,0.818691197370413,35,120
142,15520.2417477219,55543.1671717442,654451.814099089,209309.977592453,113929944.289078,85735909.459766,6,7,8,35,1.2,17,30,40,20,0.0326306045498815,0.807823855935732,36,117
143,16089.5338726122,58557.875184828,516271.286932528,166236.991825507,120348708.355586,78486971.9788532,6,7,8,35,1.2,17,30,60,17,0.0513440171421796,0.700112576860764,51,100
144,16091.7546790414,58568.5106696138,507068.09692801,164015.367432022,120581343.896559,77850672.4869037,6,7,8,35,1.2,17,30,60,20,0.0520222481562409,0.690657862658428,52,98
145,19670.9243725233,74030.6569138623,745228.134934271,250193.382266871,106939476.747162,92491032.3472906,6,7,8,35,1.5,14,22,40,17,0.0122504344782798,0.908197590491964,13,137
146,19674.4450542159,74054.0091120501,732632.877754958,246205.646541704,107186536.52879,91681690.0021657,6,7,8,35,1.5,14,22,40,20,0.0129707182557577,0.896171648837414,14,135
147,20245.2239516285,77288.3972801304,574722.024211866,192443.749957858,113975413.708719,83664552.5670589,6,7,8,35,1.5,14,22,60,17,0.0327631671431256,0.777045759018535,37,107
148,20248.7310223252,77312.902680114,564325.779997819,189697.427854144,114212399.572902,82960705.664731,6,7,8,35,1.5,14,22,60,20,0.0334540811896687,0.766587364209321,38,105
149,20218.1017578973,77121.5725840858,644160.390301821,201706.968394345,115479497.398532,84165805.4359964,6,7,8,35,1.5,14,30,40,17,0.0371482073734827,0.784493828172866,45,109
150,20221.8110744293,77147.3773842439,633025.641192906,198512.81145908,115739769.081587,83438446.924976,6,7,8,35,1.5,14,30,40,20,0.0379070094326718,0.77368607658522,47,106
