measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,2003,106.844304,146.4960932,59.84695145
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,2003,118.3325294,193.5330155,24.13887324
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,2003,279.1464273,382.7220904,157.7554993
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,2003,236.4152725,439.8207529,10.26792269
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,2003,592.8103133,805.1757542,317.8241898
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,2003,610.1629381,965.8280748,266.1534891
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,2003,782.9322014,1035.367042,442.7173631
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,2003,632.6465478,891.4493279,408.0641505
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,2003,543.6150152,825.0650478,238.2252941
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,2003,369.4644401,610.8424637,126.4530224
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,2003,416.4923809,654.2558782,164.1267048
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,2003,204.8648878,350.7753603,63.27038757
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,2003,426.9020576,626.597887,187.0796675
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,2003,63.5494067,154.4884461,3.381327253
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,2003,517.9573772,690.4851543,298.6193211
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,2003,95.60159235,149.3478806,40.89518891
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,2003,419.727915,536.8078165,249.5935163
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,2003,103.1676272,142.699992,63.55952595
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,2002,100.2096373,134.9847391,56.26937359
