sim_id,HIV/TB_coinfection_Female,HIV/TB_coinfection_Male,TB_only_Female,TB_only_Male,total_mse,rank_total,rank_HIV/TB_coinfection_Female,rank_HIV/TB_coinfection_Male,rank_TB_only_FEMALE,rank_TB_ONLY_MALE,b1_calib_id,b2_calib_id,m1_calib_id,m2_calib_id,m3_calib_id,m4_calib_id
371," 66,903 "," 55,629 "," 3,721 "," 7,570 "," 133,823 ",109,75,515,318,314,17.2,18,1-L,2-L,3-H,4-L
467," 58,966 "," 64,884 "," 3,413 "," 6,591 "," 133,854 ",110,51,537,297,292,17.6,18,1-L,2-L,3-H,4-L
452," 70,005 "," 52,121 "," 3,841 "," 7,955 "," 133,922 ",111,80,506,325,325,17.6,17.6,1-L,2-L,3-H,4-H
439," 51,299 "," 68,337 "," 4,406 "," 9,895 "," 133,937 ",112,30,544,369,369,17.6,17.2,1-L,2-H,3-H,4-L
440," 51,765 "," 67,929 "," 4,410 "," 9,901 "," 134,005 ",113,34,543,370,370,17.6,17.2,1-L,2-H,3-H,4-H
480," 37,578 "," 90,690 "," 1,128 "," 4,637 "," 134,033 ",114,10,567,19,205,17.6,18,1-H,2-H,3-H,4-H
247," 66,789 "," 49,719 "," 5,124 "," 12,562 "," 134,194 ",115,74,498,435,435,16.8,17.2,1-L,2-H,3-H,4-L
479," 37,478 "," 90,911 "," 1,131 "," 4,676 "," 134,196 ",116,9,568,20,208,17.6,18,1-H,2-H,3-H,4-L
248," 67,163 "," 49,399 "," 5,128 "," 12,569 "," 134,258 ",117,76,497,436,436,16.8,17.2,1-L,2-H,3-H,4-H
503," 66,086 "," 50,914 "," 5,043 "," 12,243 "," 134,286 ",118,68,502,431,431,18,16.4,1-L,2-H,3-H,4-L
360," 48,001 "," 72,603 "," 4,268 "," 9,419 "," 134,292 ",119,25,549,354,355,17.2,17.6,1-L,2-H,3-H,4-H
504," 66,461 "," 50,594 "," 5,047 "," 12,250 "," 134,352 ",120,71,501,432,432,18,16.4,1-L,2-H,3-H,4-H
347," 99,976 "," 29,276 "," 1,574 "," 3,674 "," 134,499 ",121,186,406,103,29,17.2,17.2,1-H,2-L,3-H,4-L
91," 100,613 "," 28,559 "," 1,608 "," 3,748 "," 134,528 ",122,191,399,109,62,16,18,1-H,2-L,3-H,4-L
359," 48,159 "," 72,791 "," 4,273 "," 9,430 "," 134,653 ",123,26,550,356,356,17.2,17.6,1-L,2-H,3-H,4-L
373," 96,313 "," 27,194 "," 3,695 "," 7,502 "," 134,704 ",124,174,392,315,310,17.2,18,1-L,2-H,3-L,4-L
348," 100,493 "," 29,074 "," 1,574 "," 3,644 "," 134,785 ",125,190,405,104,16,17.2,17.2,1-H,2-L,3-H,4-H
92," 101,130 "," 28,356 "," 1,609 "," 3,718 "," 134,813 ",126,194,398,110,47,16,18,1-H,2-L,3-H,4-H
374," 96,638 "," 27,068 "," 3,697 "," 7,495 "," 134,898 ",127,176,390,316,309,17.2,18,1-L,2-H,3-L,4-H
451," 70,985 "," 52,098 "," 3,853 "," 7,976 "," 134,912 ",128,85,505,326,326,17.6,17.6,1-L,2-L,3-H,4-L
280," 45,079 "," 76,794 "," 4,135 "," 8,966 "," 134,974 ",129,21,555,345,345,16.8,18,1-L,2-H,3-H,4-H
327," 70,884 "," 46,014 "," 5,274 "," 13,131 "," 135,303 ",130,84,486,449,449,17.2,16.8,1-L,2-H,3-H,4-L
328," 71,084 "," 45,824 "," 5,275 "," 13,131 "," 135,314 ",131,86,485,450,450,17.2,16.8,1-L,2-H,3-H,4-H
71," 71,637 "," 44,880 "," 5,357 "," 13,462 "," 135,335 ",132,87,482,457,457,16,17.6,1-L,2-H,3-H,4-L
72," 71,834 "," 44,691 "," 5,358 "," 13,462 "," 135,345 ",133,88,481,458,458,16,17.6,1-L,2-H,3-H,4-H
563," 51,442 "," 75,165 "," 3,125 "," 5,725 "," 135,457 ",134,31,554,283,266,18,18,1-L,2-L,3-H,4-L
564," 51,651 "," 74,971 "," 3,125 "," 5,713 "," 135,461 ",135,33,553,284,265,18,18,1-L,2-L,3-H,4-H
275," 75,215 "," 47,582 "," 4,050 "," 8,655 "," 135,502 ",136,99,491,339,339,16.8,18,1-L,2-L,3-H,4-L
462," 109,044 "," 21,072 "," 1,218 "," 4,171 "," 135,504 ",137,217,344,33,160,17.6,17.6,1-H,2-H,3-L,4-H
531," 74,501 "," 48,707 "," 3,978 "," 8,388 "," 135,574 ",138,94,494,335,335,18,17.2,1-L,2-L,3-H,4-L
532," 75,145 "," 48,073 "," 3,981 "," 8,390 "," 135,589 ",139,98,493,336,336,18,17.2,1-L,2-L,3-H,4-H
279," 45,228 "," 77,249 "," 4,142 "," 8,977 "," 135,595 ",140,22,556,346,346,16.8,18,1-L,2-H,3-H,4-L
536," 44,601 "," 78,264 "," 4,063 "," 8,697 "," 135,625 ",141,19,557,343,343,18,17.2,1-L,2-H,3-H,4-H
223," 104,081 "," 24,182 "," 2,489 "," 4,905 "," 135,657 ",142,199,368,235,220,16.8,16.4,1-H,2-H,3-H,4-L
276," 75,837 "," 47,205 "," 4,055 "," 8,661 "," 135,758 ",143,100,489,340,340,16.8,18,1-L,2-L,3-H,4-H
224," 104,621 "," 23,794 "," 2,490 "," 4,892 "," 135,797 ",144,201,366,236,219,16.8,16.4,1-H,2-H,3-H,4-H
461," 109,559 "," 21,016 "," 1,219 "," 4,197 "," 135,990 ",145,219,343,34,163,17.6,17.6,1-H,2-H,3-L,4-L
535," 44,751 "," 78,720 "," 4,070 "," 8,708 "," 136,249 ",146,20,558,344,344,18,17.2,1-L,2-H,3-H,4-L
355," 78,941 "," 44,274 "," 4,179 "," 9,090 "," 136,483 ",147,107,480,349,349,17.2,17.6,1-L,2-L,3-H,4-L
427," 104,473 "," 26,812 "," 1,645 "," 3,660 "," 136,590 ",148,200,388,117,24,17.6,16.8,1-H,2-L,3-H,4-L
171," 105,128 "," 26,123 "," 1,681 "," 3,743 "," 136,675 ",149,205,383,125,59,16.4,17.6,1-H,2-L,3-H,4-L
407," 74,943 "," 42,612 "," 5,424 "," 13,709 "," 136,688 ",150,96,474,465,465,17.6,16.4,1-L,2-H,3-H,4-L
408," 75,144 "," 42,430 "," 5,425 "," 13,710 "," 136,709 ",151,97,472,466,466,17.6,16.4,1-L,2-H,3-H,4-H
356," 79,449 "," 43,989 "," 4,183 "," 9,093 "," 136,713 ",152,110,478,350,350,17.2,17.6,1-L,2-L,3-H,4-H
456," 41,192 "," 83,461 "," 3,936 "," 8,269 "," 136,858 ",153,15,561,332,331,17.6,17.6,1-L,2-H,3-H,4-H
428," 105,012 "," 26,618 "," 1,646 "," 3,630 "," 136,906 ",154,203,387,118,12,17.6,16.8,1-H,2-L,3-H,4-H
152," 76,149 "," 41,262 "," 5,512 "," 14,056 "," 136,979 ",155,101,468,471,471,16.4,17.2,1-L,2-H,3-H,4-H
172," 105,669 "," 25,927 "," 1,682 "," 3,713 "," 136,992 ",156,208,381,126,46,16.4,17.6,1-H,2-L,3-H,4-H
453," 100,340 "," 25,048 "," 3,816 "," 7,891 "," 137,095 ",157,188,375,323,323,17.6,17.6,1-L,2-H,3-L,4-L
151," 76,442 "," 41,215 "," 5,513 "," 14,058 "," 137,227 ",158,102,467,472,472,16.4,17.2,1-L,2-H,3-H,4-L
455," 41,314 "," 83,775 "," 3,934 "," 8,268 "," 137,292 ",159,16,562,330,330,17.6,17.6,1-L,2-H,3-H,4-L
454," 100,697 "," 24,906 "," 3,818 "," 7,886 "," 137,307 ",160,192,372,324,322,17.6,17.6,1-L,2-H,3-L,4-H
435," 82,751 "," 41,112 "," 4,309 "," 9,541 "," 137,713 ",161,120,466,359,359,17.6,17.2,1-L,2-L,3-H,4-L
179," 83,537 "," 40,077 "," 4,385 "," 9,828 "," 137,827 ",162,124,464,365,365,16.4,18,1-L,2-L,3-H,4-L
436," 83,223 "," 40,908 "," 4,313 "," 9,546 "," 137,990 ",163,123,465,360,360,17.6,17.2,1-L,2-L,3-H,4-H
180," 84,011 "," 39,873 "," 4,389 "," 9,833 "," 138,105 ",164,126,463,366,366,16.4,18,1-L,2-L,3-H,4-H
376," 38,183 "," 88,611 "," 3,810 "," 7,855 "," 138,458 ",165,11,566,322,319,17.2,18,1-L,2-H,3-H,4-H
488," 79,557 "," 39,127 "," 5,580 "," 14,314 "," 138,578 ",166,112,460,479,479,18,16,1-L,2-H,3-H,4-H
375," 38,655 "," 88,336 "," 3,809 "," 7,861 "," 138,661 ",167,12,565,321,320,17.2,18,1-L,2-H,3-H,4-L
232," 80,368 "," 38,072 "," 5,665 "," 14,657 "," 138,761 ",168,115,451,483,483,16.8,16.8,1-L,2-H,3-H,4-H
542," 114,499 "," 19,031 "," 1,263 "," 3,968 "," 138,761 ",169,235,329,44,126,18,17.2,1-H,2-H,3-L,4-H
487," 79,854 "," 39,086 "," 5,581 "," 14,316 "," 138,837 ",170,114,459,480,480,18,16,1-L,2-H,3-H,4-L
286," 115,245 "," 18,395 "," 1,286 "," 3,978 "," 138,904 ",171,239,321,49,130,16.8,18,1-H,2-H,3-L,4-H
304," 109,698 "," 21,547 "," 2,602 "," 5,142 "," 138,989 ",172,221,350,248,233,17.2,16,1-H,2-H,3-H,4-H
231," 80,669 "," 38,031 "," 5,666 "," 14,658 "," 139,024 ",173,116,450,484,484,16.8,16.8,1-L,2-H,3-H,4-L
303," 109,592 "," 21,789 "," 2,601 "," 5,152 "," 139,135 ",174,220,352,247,235,17.2,16,1-H,2-H,3-H,4-L
541," 114,813 "," 19,227 "," 1,268 "," 4,001 "," 139,308 ",175,236,332,45,137,18,17.2,1-H,2-H,3-L,4-L
48," 110,479 "," 20,872 "," 2,655 "," 5,322 "," 139,329 ",176,226,342,249,242,16,16.8,1-H,2-H,3-H,4-H
285," 115,438 "," 18,611 "," 1,290 "," 3,997 "," 139,336 ",177,240,325,50,135,16.8,18,1-H,2-H,3-L,4-L
508," 109,735 "," 24,266 "," 1,721 "," 3,641 "," 139,363 ",178,222,369,133,15,18,16.4,1-H,2-L,3-H,4-H
515," 86,866 "," 38,088 "," 4,445 "," 10,017 "," 139,416 ",179,136,452,373,374,18,16.8,1-L,2-L,3-H,4-L
47," 110,294 "," 21,146 "," 2,655 "," 5,334 "," 139,429 ",180,224,346,250,243,16,16.8,1-H,2-H,3-H,4-L
507," 109,537 "," 24,560 "," 1,721 "," 3,653 "," 139,470 ",181,218,370,134,19,18,16.4,1-H,2-L,3-H,4-L
252," 110,413 "," 23,603 "," 1,759 "," 3,733 "," 139,508 ",182,225,365,139,55,16.8,17.2,1-H,2-L,3-H,4-H
516," 87,187 "," 37,882 "," 4,447 "," 10,015 "," 139,531 ",183,138,449,374,373,18,16.8,1-L,2-L,3-H,4-H
259," 87,679 "," 37,088 "," 4,522 "," 10,310 "," 139,600 ",184,140,448,379,380,16.8,17.6,1-L,2-L,3-H,4-L
251," 110,213 "," 23,896 "," 1,759 "," 3,745 "," 139,612 ",185,223,367,140,60,16.8,17.2,1-H,2-L,3-H,4-L
260," 88,002 "," 36,883 "," 4,524 "," 10,309 "," 139,717 ",186,142,447,380,379,16.8,17.6,1-L,2-L,3-H,4-H
534," 105,033 "," 22,838 "," 3,944 "," 8,301 "," 140,117 ",187,204,359,334,333,18,17.2,1-L,2-H,3-L,4-H
278," 105,922 "," 22,057 "," 4,017 "," 8,570 "," 140,566 ",188,209,354,338,337,16.8,18,1-L,2-H,3-L,4-H
