"sim_id","program_id","undisc_inc","disc_inc"
83874,1,12378.3624711345,10875.1557005946
83874,2,9629.4462616886,8510.20125248556
83874,3,9558.62512127935,8446.162813406
83987,1,13470.3914502026,11820.3538090881
83987,2,10807.197897219,9534.99363383857
83987,3,10469.588423587,9241.45097982179
83991,1,12198.5734338342,10716.4177481287
83991,2,9482.88420826045,8386.29317072892
83991,3,9019.42855423857,7984.55037364951
83992,1,11288.3765117988,9909.55198714036
83992,2,8896.02601890285,7857.19140334155
83992,3,8540.24901302234,7549.34926337272
84091,1,12486.9464304342,10961.2522226417
84091,2,10142.7988337841,8949.13883413217
84091,3,9886.67109154369,8725.88750875087
84179,1,11874.220621817,10434.2849281685
84179,2,9332.445273365,8255.41106989897
84179,3,8820.16604747621,7809.96665350612
84198,1,13375.4259192971,11738.0826445242
84198,2,10504.7170328413,9276.37556193058
84198,3,10137.7089831702,8956.26198969353
84202,1,13892.3299479039,12196.8334375948
84202,2,11097.8101268984,9800.25399675888
84202,3,10775.0551184565,9518.35429228305
84236,1,13747.5855557949,12075.8522209591
84236,2,10730.5595995096,9484.20523155729
84236,3,10457.0598882834,9244.92987104049
84320,1,11285.1264577468,9912.48014794724
84320,2,8950.64945442688,7909.09739202332
84320,3,8751.90938242032,7734.86174516522
84553,1,12007.0919170114,10555.2167620899
84553,2,9105.49218185919,8060.09247465614
84553,3,9078.75747577062,8032.59226443466
84586,1,12668.484509179,11131.3726567179
84586,2,9932.43455723793,8778.18672020059
84586,3,9741.27908584706,8609.9545285141
84622,1,13510.6364467999,11866.3157085595
84622,2,10755.3271670119,9503.20864775504
84622,3,10067.1669942492,8908.24442670263
84676,1,13842.6801705962,12155.2957431515
84676,2,10903.4309602003,9631.44279835498
84676,3,10739.1160464922,9487.04751241026
84679,1,11530.9873571392,10126.4243163996
84679,2,9037.98629586664,7983.52173823958
84679,3,8927.92292308791,7887.2402873688
84793,1,12404.1537492364,10890.4535992666
84793,2,9590.75845288265,8474.43943830689
84793,3,9235.14273861003,8166.45553493227
84833,1,12587.156016339,11050.4060680747
84833,2,9966.70395821086,8799.67357932765
84833,3,9874.30799000952,8717.82488829355
84867,1,12544.0764804895,11019.4469933761
84867,2,9912.65409337718,8760.42993191076
84867,3,9646.76871464502,8528.26726368547
84908,1,13768.2386301312,12096.9685331357
84908,2,11163.0343751968,9863.65322252374
84908,3,10604.9598916362,9377.19831915673
84944,1,12663.4722079068,11134.4167882219
84944,2,9933.93673834384,8788.74066470612
84944,3,9574.00973023615,8477.36649447414
84969,1,11723.7020619736,10292.4858605339
84969,2,9240.63232138958,8163.23020969096
84969,3,8832.6764600011,7808.58028722257
85077,1,13077.2659221323,11482.5119289989
85077,2,10394.741782988,9185.28514121424
85077,3,9853.84396614978,8715.00145930303
85251,1,13474.5324303646,11832.4030254894
85251,2,10506.1458283856,9280.91957024051
85251,3,10303.8430263187,9102.21635275564
85330,1,12124.8925490987,10647.7323356979
85330,2,9797.23324898013,8651.58219704473
85330,3,9316.11412180079,8233.15674357284
8537,1,12976.438476872,11404.3255930731
8537,2,10018.8509077715,8864.88345458467
8537,3,9791.38929815542,8665.79508502332
85410,1,12543.8286257138,11020.4340143626
85410,2,9703.54435803115,8581.95369322058
85410,3,9544.68367440446,8442.69929128291
85427,1,13595.308986383,11931.369375853
85427,2,10612.4689681255,9371.2519800891
85427,3,10387.8802457436,9173.64663425989
