"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate","level"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,4,2,5,1,0.0340014778605684,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,4,3,10,1,0.0680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,4,4,1.2,1,0.00816035468653641,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,5,1,1,1,0.00680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,5,2,5,1,0.0340014778605684,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,5,3,10,1,0.0680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,5,4,1.2,1,0.00816035468653641,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,6,1,1,18,0.122405320298046,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,6,2,5,5,0.170007389302842,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,6,3,10,4,0.272011822884547,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,6,4,1.2,18.3333333333333,0.149606502586501,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,7,1,1,1,0.00680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,7,2,5,1,0.0340014778605684,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,7,3,10,1,0.0680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,7,4,1.2,1,0.00816035468653641,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,8,1,1,1,0.00680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,8,2,5,1,0.0340014778605684,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,8,3,10,1,0.0680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,8,4,1.2,1,0.00816035468653641,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,1,1,1,1,0.00694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,1,2,5,1,0.0347294560000821,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,1,3,10,1,0.0694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,1,4,1.2,1,0.0083350694400197,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,2,1,1,1,0.00694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,2,2,5,1,0.0347294560000821,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,2,3,10,1,0.0694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,2,4,1.2,1,0.0083350694400197,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,3,1,1,1,0.00694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,3,2,5,1,0.0347294560000821,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,3,3,10,1,0.0694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,3,4,1.2,1,0.0083350694400197,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,4,1,1,1,0.00694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,4,2,5,1,0.0347294560000821,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,4,3,10,1,0.0694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,4,4,1.2,1,0.0083350694400197,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,5,1,1,1,0.00694589120001642,"H"
1,"male",1994,10813124.9561666,334240.475851306,10478884.4803153,72785.1914978105,0.00694589120001642,5,2,5,1,0.0347294560000821,"H"
