"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate"
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,4,4,2.4,1,0.00977225964383426
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,5,1,1,1,0.00407177485159761
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,5,2,10,1,0.0407177485159761
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,5,3,20,1,0.0814354970319522
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,5,4,2.4,1,0.00977225964383426
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,6,1,1,20,0.0814354970319522
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,6,2,10,5,0.20358874257988
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,6,3,20,5,0.407177485159761
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,6,4,2.4,12.5,0.122153245547928
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,7,1,1,1,0.00407177485159761
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,7,2,10,1,0.0407177485159761
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,7,3,20,1,0.0814354970319522
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,7,4,2.4,1,0.00977225964383426
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,8,1,1,1,0.00407177485159761
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,8,2,10,1,0.0407177485159761
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,8,3,20,1,0.0814354970319522
2,"female",1992,10986242.2393893,303961.085415047,10682281.1539742,43495.8437604474,0.00407177485159761,8,4,2.4,1,0.00977225964383426
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,1,1,1,1,0.00347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,1,2,10,1,0.0347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,1,3,20,1,0.0695638809617842
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,1,4,2.4,1,0.0083476657154141
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,2,1,1,1,0.00347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,2,2,10,1,0.0347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,2,3,20,1,0.0695638809617842
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,2,4,2.4,1,0.0083476657154141
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,3,1,1,1,0.00347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,3,2,10,1,0.0347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,3,3,20,1,0.0695638809617842
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,3,4,2.4,1,0.0083476657154141
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,4,1,1,1,0.00347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,4,2,10,1,0.0347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,4,3,20,1,0.0695638809617842
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,4,4,2.4,1,0.0083476657154141
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,5,1,1,1,0.00347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,5,2,10,1,0.0347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,5,3,20,1,0.0695638809617842
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,5,4,2.4,1,0.0083476657154141
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,6,1,1,20,0.0695638809617842
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,6,2,10,5,0.17390970240446
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,6,3,20,5,0.347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,6,4,2.4,12.5,0.104345821442676
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,7,1,1,1,0.00347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,7,2,10,1,0.0347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,7,3,20,1,0.0695638809617842
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,7,4,2.4,1,0.0083476657154141
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,8,1,1,1,0.00347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,8,2,10,1,0.0347819404808921
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,8,3,20,1,0.0695638809617842
2,"female",1993,11270998.075418,424484.698219731,10846513.3771983,37726.2782710911,0.00347819404808921,8,4,2.4,1,0.0083476657154141
